title,original_title,overview,release_date
Cheerful Weather for the Wedding,Cheerful Weather for the Wedding,"England, 1932. Today is Dolly Thatcham's wedding day, and her family is arriving at the manor house with all the cheerfulness, chaos and grievances that accompany such gatherings. Trouble soon appears in the shape of Joseph, Dolly's lover from the previous summer, who throws her feelings into turmoil. But Dolly's mother will not allow her carefully laid plans for her daughter's future to be threatened...",2012-12-07
Murattu Kaalai,முரட்டுக்காளை,"Kaalaiyan is a simple person and the best Jallikattu (Bullfight) player in his village. His world revolves around his four younger brothers. The antagonist is Varadharajan, a Zamindar from the neighbouring village who lives an extravagant lifestyle. His close aide is a transgender Saroja. Varadharajan's sister falls for the macho Kaalaiyan when he wins a Jallikattu. In the meantime, Bhuvana, on the run, after Varadharajan falls for her charm and tries to molest her, takes refuge in Kaalaiyan's house. However, Varadharajan decides to marry his sister to Kaalaiyan with an eye on his land. On the day of marriage, when Kaalaiyan comes to know that the bride wants to split the bond between the brothers, he calls off the marriage.",2012-06-15
An American Girl: McKenna Shoots for the Stars,An American Girl: McKenna Shoots for the Stars,A young girl struggles to maintain her school grades while competing as a gymnast.,2012-07-14
The Gift of Tears,O Dom das Lagrimas,A princess and a hunter. An iconographic journey immersed in Lusitanian fantasy.,2012-11-26
Stitches,Stitches,"The clumsy and unfunny clown Richard ""Stitches"" Grindle entertains at the 10th birthday party of little Tom, but the boy and his friends play a prank with Stitches, tying his shoelaces. Stitches slips, falls and dies. Six years later, Tom gives a birthday party for his friends at home, but Stitches revives to haunt the teenagers and revenge his death.",2012-10-05
American Reunion,American Reunion,"The characters we met a little more than a decade ago return to East Great Falls for their high school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.",2012-04-04
Frozen,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",2013-11-20
Now You See Me,Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,2013-05-29
The Wolf of Wall Street,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2013-12-25
April Apocalypse,April Apocalypse,"Artie is pure bred trailer trash. He has zero ambition, is everyone's favorite punching back at school and bears the burden of his virginity in silence. And then April moves out of the state. She's his best friend and support since kindergarten and the love of his life. Three years later Artie finally has the courage to take to the road and go see April to tell her how he feels about her. One car-crash later Artie wakes up in the middle of the zombie apocalypse. But this time he's not going to hide. Artie's love for April doesn't give him wings, but does give him the courage to hack, slash, punch and kick himself a part towards the girl he loves. Time is of the essence, because that bite on his hand will make the difference between a French kiss and a bite out of April's brains.",2013-10-12
Runner Runner,Runner Runner,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",2013-09-24
Killing Season,Killing Season,"Two veterans of the Bosnian War, one American, one Serbian, clash in the remote Smoky Mountain wilderness.",2013-07-12
Antboy,Antboy,"12-year-old Pelle accidentally gets bitten by an ant and develops unimaginable superpowers. With help from his friend, comic book nerd Wilhelm, Pelle creates a secret identity as the superhero Antboy. Slowly things start to happen in the surburban community, and when a scary and crazy supervillain, Flea, enters the scene, Antboy must step up to the challenge.  The first Danish superhero-movie. Based on the books by Kenneth Bøgh Andersen.",2013-09-07
Deadliest Prey,Deadliest Prey,"Sequel to Deadly Prey. Colonel Hogan is still alive and just getting out of prison on parole, some 28 years later. But he has only one thing in mind and that is revenge on Mike Danton. So once again, Hogan puts together a group of mercenaries, has Danton kidnapped, and the games begin. Only this time Hogan is funded by a huge internet company in exchange for broadcasting the hunting of Danton over the internet, worldwide. For Hogan, winning is everything. Proving that there can only be one best and that it is him. What he had not thought of is that he isn’t the only one who had twenty eight years to get pissed off. Because now Mike Danton is pissed off and that means few will survive.",2013-10-27
Spiders,Spiders,"After a Soviet space station crashes into a New York City subway tunnel, a species of venomous spiders is discovered, and soon they mutate to gigantic proportions and wreak havoc on the city.",2013-02-08
Phobia,Phobia,"In 1885, a female doctor helping a group of people with their phobias becomes embroiled in a murder mystery surrounding a patient that may or may not be a vampire.",2013-08-31
Enough Said,Enough Said,"Eva is a divorced soon-to-be empty-nester wondering about her next act. Then she meets Marianne, the embodiment of her perfect self. Armed with a restored outlook on being middle-aged and single, Eva decides to take a chance on her new love interest Albert — a sweet, funny and like-minded man. But things get complicated when Eva discovers that Albert is in fact the dreaded ex–husband of Marianne...",2013-09-18
The Purge,The Purge,"Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",2013-05-31
Resolution,Resolution,"A man imprisons his estranged junkie friend in an isolated cabin in the boonies of San Diego to force him through a week of sobriety, but the events of that week are being mysteriously manipulated.",2013-01-25
